snoRNA,disease,label
SNORA80E,Pancreatic ductal adenocarcinoma,1
SNORD105,Gastric cancer,1
SNHG1,Lung squamous cell carcinoma,1
SNORD114-12,West nile virus infection,1
SNHG6,Esophageal squamous cell cancer,1
SNORD114-17,Gastric cancer,1
SNORD116-3,Gastric cancer,1
SNORA35,Diffuse large B cell lymphoma,1
SCARNA15,Gastric cancer,1
SNORD14D,Oral squamous cell carcinoma,1
TERC,West nile virus infection,1
SNORD36C,Hepatocellular carcinoma,1
SNORA50A,Cancer,1
SNORD16,Gastric cancer,1
TERC,Stomach cancer,1
SNHG12,Cervical cancer,1
SNORD93,Gastric cancer,1
SNHG15,Ovarian cancer,1
SNORA48,Cancer,1
SNHG25,Clear cell renal cell carcinoma,1
SNORD43,Acute myeloid leukemia,1
SNHG1,Alzheimer disease,1
SNHG4,Liver cancer,1
SNHG7,Breast cancer,1
SNORA46,Diffuse large B cell lymphoma,1
SNHG20,Oral squamous cell carcinoma,1
SNHG1,Glioblastoma,1
SNORD115-21,Cerebral cavernous malformations,1
SNORD114-1,Acute promyelocytic leukemia,1
SNORD50A,Prostatic neoplasms,1
SNHG14,Hepatocellular carcinoma,1
SNORA33,Cancer,1
SNORD66,Gastric cancer,1
SNORD1C,Lung cancer,1
SNORD98,Lung cancer,1
SNHG3,Prostate cancer,1
SNORD5,Lung cancer,1
SNHG1,Thyroid cancer,1
TERC,Esophageal cancer,1
SNORD113-6,Gastric cancer,1
SNORA81,Pancreatic ductal adenocarcinoma,1
SNHG17,Melanoma,1
SNORD88A,Hepatocellular carcinoma,1
SNHG14,Ovarian cancer,1
SNORD42A,Gastric cancer,1
SNORD89,Dysregulated immunity,1
SNORA71A,Lung adenocarcinoma,1
SNORD102,Gastric cancer,1
SNORD105B,Gastric cancer,1
SNORD33,Gastric cancer,1
SNORA11E,Diffuse large B cell lymphoma,1
SNORD35B,Gastric cancer,1
SNORD13,Gastric cancer,1
SNORD115-23,Cerebral cavernous malformations,1
SNORA30,Cancer,1
SNORD117,Prostate cancer,1
SNORD94,Osteosarcoma,1
TERC,Colon carcinoma,1
SNORD103A,Hepatocellular carcinoma,1
SNHG6,Hepatocellular carcinoma,1
SNHG9,Colorectal cancer,1
SNORA71A,Cancer,1
SNHG14,Esophageal cancer,1
SNHG6,Colorectal cancer,1
SNHG7,Non small cell lung cancer,1
SNHG9,Hepatocellular carcinoma,1
SNORD97,Gastric cancer,1
SNORD33,Colorectal cancer,1
SNORD25,Lung cancer,1
SNORD114-15,Lung cancer,1
SNHG1,Liver cancer,1
SNORD115-1,Breast cancer,1
SNORD53,Dysregulated immunity,1
SNORA13,West nile virus infection,1
SNORA5A,Lung adenocarcinoma,1
SNHG3,Oral squamous cell carcinoma,1
SNORD22,Gastric cancer,1
SNHG3,Non small cell lung carcinoma,1
SNORD112,Lung cancer,1
SNORA29,Colorectal cancer,1
SNHG6,Esophageal squamous cell carcinoma,1
SCARNA22,Colorectal cancer,1
SNORD41,Hepatocellular carcinoma,1
SNORD38A,Gastric cancer,1
SNORA23,Diffuse large B cell lymphoma,1
SNHG16,Osteosarcoma,1
SNHG1,Pancreatic ductal adenocarcinoma,1
SNORD79,Gastric cancer,1
SCARNA15,Osteoarthritis,1
SNORD32A,Dysregulated immunity,1
TERC,Urinary bladder cancer,1
SNHG5,Colorectal cancer,1
SNORD50B,Hepatocellular carcinoma,1
MEG8,Lung cancer,1
SNORD68,Cerebral cavernous malformations,1
RNU1-4,Rheumatoid arthritis,1
SNORD115-40,Cerebral cavernous malformations,1
SNHG3,Colorectal cancer,1
SNORD64,Prader-willi syndrome,1
SNHG5,Pre-eclampsia,1
SNORA44,Pancreatic ductal adenocarcinoma,1
SNORD66,Lung cancer,1
SNORD35A,Acute myeloid leukemia,1
SNORD53,Gastric cancer,1
MEG8,Cerebral cavernous malformations,1
SNORD84,Oral squamous cell carcinoma,1
TERC,Liposarcoma,1
SNHG7,Neuroblastoma,1
SNHG1,Prostate cancer,1
SNORD24,Adenocarcinoma,1
SNORD88C,Gastric cancer,1
SNORD33,Dysregulated immunity,1
SNORA17B,Colorectal cancer,1
SNORD3C,Gastric cancer,1
SNORD114-23,Gastric cancer,1
SNORD94,Breast cancer,1
SNORA41,Cancer,1
SNORD121B,Gastric cancer,1
SNORD99,Lung cancer,1
SNORD76,Glioblastoma,1
SNHG14,Non small cell lung cancer,1
SNORD113-8,Gastric cancer,1
SNORA3A,Diffuse large B cell lymphoma,1
SCARNA11,Cerebral cavernous malformations,1
SNORD37,Lung cancer,1
SNHG7,Pancreatic cancer,1
SNORA36C,Diffuse large B cell lymphoma,1
SNORD116-15,Cerebral cavernous malformations,1
SNHG7,Esophageal cancer,1
SCARNA9,Osteoarthritis,1
SNHG1,Ovarian carcinoma,1
SNORD84,Gastric cancer,1
SNORD75,Gastric cancer,1
SNORD60,Cerebral cavernous malformations,1
SNORA61,Cancer,1
SNORD14A,West nile virus infection,1
SNORD114-11,Ovarian cancer,1
SNORD78,Gastric cancer,1
SNORD114-12,Cerebral cavernous malformations,1
SNORD103B,Lung cancer,1
SNORD121A,Lung cancer,1
SNHG7,Renal cell cancer,1
SNHG15,Pancreatic cancer,1
SNORD96A,Uterine leiomyoma,1
SNORA61,West nile virus infection,1
SNHG16,Retinoblastoma,1
SNHG1,Glioma,1
SNORD41,Gastric cancer,1
SNORA64,Pancreatic ductal adenocarcinoma,1
SNORD117,Gastric cancer,1
SNORD34,Dysregulated immunity,1
TERC,Breast neoplasms,1
SNORA81,Hepatocellular carcinoma,1
SNHG16,Diffuse large B cell lymphoma,1
SNHG10,Hepatocellular carcinoma,1
SNORD46,Gastric cancer,1
SNHG7,Prostate cancer,1
SNORD82,Gastric cancer,1
SNORD35A,West nile virus infection,1
SNORA51,Cancer,1
SNORA70F,Diffuse large B cell lymphoma,1
SNHG16,Ovarian cancer,1
SNORA22,Diffuse large B cell lymphoma,1
SNORD33,Lung carcinoma,1
SNORD114-1,Lung cancer,1
SNORD116@,Prader-willi syndrome,1
SNHG12,Laryngeal squamous cell carcinoma,1
SNHG3,Clear cell renal cell carcinoma,1
SNHG6,Wilms tumor,1
SNORD35B,Head and neck squamous cell carcinoma,1
SNORD11B,Lung cancer,1
SNORD114-25,Gastric cancer,1
SNORA31,West nile virus infection,1
SNORD82,Prostate cancer,1
SNHG12,Colorectal cancer,1
SNORD123,Colorectal cancer,1
SNHG18,Esophageal cancer,1
SNORD66,Hepatocellular carcinoma,1
SNORD43,Gastric cancer,1
SNORD62A,Gastric cancer,1
SNORD70,Gastric cancer,1
SNORA70B,Pancreatic ductal adenocarcinoma,1
SNHG15,Renal cell carcinoma,1
SNORD88A,Lung cancer,1
SNHG9,Esophageal cancer,1
SNORA68,Cancer,1
SNORA71B,Pancreatic ductal adenocarcinoma,1
SCARNA2,Thyroid cancer,1
SNORA41,Pancreatic ductal adenocarcinoma,1
SNORA15,Cancer,1
TERC,Neuroblastoma,1
SNHG6,Gastric cancer,1
SNHG11,Hepatocellular carcinoma,1
SNORD115-32,Cerebral cavernous malformations,1
SNHG7,Melanoma,1
SNHG8,Muscle-invasive bladder cancer,1
SNORD4A,Gastric cancer,1
SNORA48,Lung adenocarcinoma,1
SNORD66,Non small cell lung carcinoma,1
SNORD44,Gastric cancer,1
SNHG16,Muscle-invasive bladder cancer,1
SNHG12,Liver cancer,1
SNORA61,Pancreatic ductal adenocarcinoma,1
SNORD113-6,Heart failure,1
SNORD14C,Tuberculosis,1
SNORD110,Gastric cancer,1
SNORA40,Diffuse large B cell lymphoma,1
SNORD56,Uterine leiomyoma,1
SNORA36C,Cancer,1
SNORD116@,Prostate cancer,1
SCARNA5,Prostate cancer,1
SNORD15B,Breast cancer,1
SNORA50C,West nile virus infection,1
SNORD49B,Hepatocellular carcinoma,1
TERC,Gallbladder cancer,1
SNHG12,Ovarian cancer,1
SNORD1C,Gastric cancer,1
SNORA15,Diffuse large B cell lymphoma,1
SNORD13,Hepatocellular carcinoma,1
SNHG12,Glioblastoma,1
SNORA48,Pancreatic ductal adenocarcinoma,1
SNHG1,Osteosarcoma,1
SNHG22,Esophageal cancer,1
SNORD62A,West nile virus infection,1
SNORD79,Lung cancer,1
SNORD3A,Glioma,1
SNORD114-13,Gastric cancer,1
RNU1-1,Alzheimer disease,1
SNHG7,Hypopharyngeal cancer,1
SNHG15,Colorectal carcinoma,1
SNHG12,Glioma,1
SCARNA10,Gastric cancer,1
SNORA73A,Lung adenocarcinoma,1
SNORD35A,Gastric cancer,1
SNHG8,Gastric cancer,1
RNU2-1,Colorectal adenocarcinoma,1
SNORD3P3,Gastric cancer,1
SNORA3B,Diffuse large B cell lymphoma,1
SNORD28,Oral squamous cell carcinoma,1
SNORD47,Dysregulated immunity,1
SNORD15B,Prostate cancer,1
SNORD113-3,Cerebral cavernous malformations,1
SNORA61,Lung adenocarcinoma,1
SNHG7,Osteosarcoma,1
SNORD114-17,Lung cancer,1
SNORD3B-2,Gastric cancer,1
SNORD68,Prostate cancer,1
SNORD60,Lung cancer,1
SNHG12,Papillary thyroid cancer,1
SNORD116-24,Cerebral cavernous malformations,1
SNORD72,Hepatocellular carcinoma,1
SNHG15,Breast cancer,1
SNHG14,Glioma,1
SNORA70B,Lung adenocarcinoma,1
SNORA21,Diffuse large B cell lymphoma,1
SNORD115-10,Cerebral cavernous malformations,1
SNORA24,Colorectal cancer,1
SNORD101,Gastric cancer,1
SNORD89,Epstein-barr virus infections,1
SNORD118,Breast cancer,1
SNHG11,Colorectal cancer,1
SNORA20,Hepatocellular carcinoma,1
SNORD113-8,Lung cancer,1
SNORD4B,Lung cancer,1
SNHG6,Non small cell lung carcinoma,1
SNORA50C,Colorectal cancer,1
SNORD113-1,Hepatocellular carcinoma,1
SCARNA11,Gastric cancer,1
SNORD67,Dysregulated immunity,1
SNHG12,Papillary thyroid carcinoma,1
SNHG3,Parkinson disease,1
SNORD35A,Dysregulated immunity,1
SNHG3,Liver cancer,1
SNORD14D,Acute myeloid leukemia,1
SNORD50A,Breast cancer,1
SNORA4,Hepatocellular carcinoma,1
SNORD69,Cerebral cavernous malformations,1
SNORD83B,Gastric cancer,1
SNORD114-17,Uterine leiomyoma,1
SNORD114-12,Gastric cancer,1
SNORA55,Diffuse large B cell lymphoma,1
SNORD77,Gastric cancer,1
SNHG5,Glioblastoma,1
SNORD34,Gastric cancer,1
SNHG22,Clear cell renal cell carcinoma,1
SNHG16,Papillary thyroid cancer,1
SCARNA17,Gastric cancer,1
SNORA14A,Lung adenocarcinoma,1
SNHG20,Non small cell lung carcinoma,1
SNORD79,West nile virus infection,1
SNHG6,Esophageal cancer,1
SNHG3,Gastric cancer,1
SNORD78,Hepatocellular carcinoma,1
SNHG9,Glioma,1
SNORD16,Uterine leiomyoma,1
SNHG15,Colon cancer,1
SNORD11,Gastric cancer,1
SNORD56,Gastric cancer,1
SNORD90,West nile virus infection,1
SNHG15,Papillary thyroid carcinoma,1
SNORD114-1,Heart failure,1
SNORD33,Rheumatoid arthritis,1
SNHG5,Osteosarcoma,1
SNORD3A,Prostate cancer,1
SNORA36A,West nile virus infection,1
SNHG7,Hepatocellular carcinoma,1
SNORD77,Lung cancer,1
SNORD18B,Lung cancer,1
SNORA67,Pancreatic ductal adenocarcinoma,1
SCARNA2,Esophageal cancer,1
SNORD3P3,Hepatocellular carcinoma,1
SNORA17A,Gastric cancer,1
SNHG16,Bladder cancer,1
SNORD28,Lung cancer,1
SNORD78,Colorectal cancer,1
SNORA79,Hepatocellular carcinoma,1
SNORD4B,Gastric cancer,1
SNHG5,Liver cancer,1
SNHG4,Cervical cancer,1
SNORD55,Gastric cancer,1
SNORD104,Dysregulated immunity,1
SNHG9,Lung cancer,1
SNORA70,Colorectal cancer,1
SNORA70E,Diffuse large B cell lymphoma,1
SNHG4,Hepatocellular carcinoma,1
SNORD123,Gastric cancer,1
TERC,Gastric cancer,1
SNORD118,Oral squamous cell carcinoma,1
SNORD84,Dysregulated immunity,1
SNHG5,Acute myeloid leukemia,1
SNORD89,Gastric cancer,1
SNHG20,Esophageal squamous cell carcinoma,1
SNORD73A,Gastric cancer,1
SNORD58B,Gastric cancer,1
SNHG5,Esophageal cancer,1
SNORD3D,Gastric cancer,1
SNORD114-26,Cerebral cavernous malformations,1
TERC,Breast cancer,1
SNORD14D,Hepatocellular carcinoma,1
SNORD38B,Gastric cancer,1
SNHG14,Non small cell lung carcinoma,1
SNORD36A,Uterine leiomyoma,1
SNORA69,Lung adenocarcinoma,1
SNORD21,Gastric cancer,1
SNORD88C,Hepatocellular carcinoma,1
SNHG5,Ovarian cancer,1
SNORA9,Colorectal cancer,1
SNORA29,Diffuse large B cell lymphoma,1
SNHG1,Nasopharyngeal carcinoma,1
SNORD37,Early hepatocellular carcinoma,1
SNORD126,Colorectal cancer,1
SNHG16,Pediatric neuroblastoma,1
SNORA74A,Diffuse large B cell lymphoma,1
SCARNA13,Hepatocellular carcinoma,1
SNHG1,Colorectal cancer,1
SCARNA4,West nile virus infection,1
SNORD125,Gastric cancer,1
MEG8,Thyroid cancer,1
SNHG16,Colon cancer,1
SNORA9,Lung adenocarcinoma,1
SNORA13,Pancreatic ductal adenocarcinoma,1
SNORA5B,Colorectal cancer,1
SNORD99,Gastric cancer,1
SNORA72,West nile virus infection,1
TERC,Uterine cervical neoplasm,1
SNORD87,Gastric cancer,1
SNORD103A,Dysregulated immunity,1
SNORA73A,Gastric cancer,1
SNORD36A,Gastric cancer,1
SNORD114-1,Gastric cancer,1
SNORA46,Hepatocellular carcinoma,1
SNORD50A,Gastric cancer,1
SNORD45B,Dysregulated immunity,1
SNORD45A,Gastric cancer,1
SNORD3A,West nile virus infection,1
SNORD72,Gastric cancer,1
SNORA24,Pancreatic ductal adenocarcinoma,1
SNHG12,Prostate cancer,1
SNORD98,Gastric cancer,1
SNORA40,Cancer,1
SCARNA14,Gastric cancer,1
SNHG12,Triple negative breast cancer,1
SNORA55,Lung adenocarcinoma,1
SNORA26,Cancer,1
SNORA58,Gastric cancer,1
SNHG20,Breast cancer,1
SNHG3,Esophageal cancer,1
SNORD30,Lung cancer,1
SNORA2B,Pancreatic ductal adenocarcinoma,1
SNORD114-22,Gastric cancer,1
SNHG1,Laryngeal cancer,1
SNORD14D,Lung cancer,1
SNORD59B,Lung cancer,1
SNORD72,Lung cancer,1
SNORD43,Breast cancer,1
SNORA54,Pancreatic ductal adenocarcinoma,1
SNORD49B,Uterine leiomyoma,1
SNORA5C,Lung adenocarcinoma,1
SNORD115-31,Hepatocellular carcinoma,1
SNHG8,Colorectal cancer,1
SNHG17,Esophageal cancer,1
SNORD31,Gastric cancer,1
SNORA65,Hepatocellular carcinoma,1
SNORA5A,Pancreatic ductal adenocarcinoma,1
SNORD90,Cerebral cavernous malformations,1
SNORD115-1,Prader-willi syndrome,1
SNHG14,Breast cancer,1
SNHG16,Esophageal squamous cell carcinoma,1
SNORA70D,Cancer,1
SNHG6,Glioma,1
TERC,Hepatocellular carcinoma,1
SNHG7,Cardiac hypertrophy,1
SNHG14,Gastric cancer,1
SNORD114-21,Lung cancer,1
SNORD114-14,Gastric cancer,1
SNORD113-8,Hepatocellular carcinoma,1
SNHG16,Non small cell lung carcinoma,1
SNORD104,Tuberculosis,1
SNORD15A,Gastric cancer,1
SNORA4,Diffuse large B cell lymphoma,1
SNORA61,Gastric cancer,1
SNORD1C,West nile virus infection,1
SNORA56,Lung adenocarcinoma,1
SNORD77,Hepatocellular carcinoma,1
SNORA3B,Pancreatic ductal adenocarcinoma,1
SNORD115-42,Cerebral cavernous malformations,1
SNHG14,Cerebral cavernous malformations,1
SNHG1,Breast cancer,1
SNHG22,Papillary thyroid cancer,1
SCARNA3,Hepatocellular carcinoma,1
SNORA71B,Lung adenocarcinoma,1
SNORD58A,Gastric cancer,1
SNORD114-28,Gastric cancer,1
SNHG16,Esophageal cancer,1
SNHG3,Osteosarcoma,1
SNORD93,Cerebral cavernous malformations,1
SNHG15,Renal cell cancer,1
SNORA64,Cancer,1
SNORD38B,Lung cancer,1
SCARNA13,Gastric cancer,1
SNHG16,Non small cell lung cancer,1
SNHG12,Renal cell carcinoma,1
SNORD12,Gastric cancer,1
SNORA67,Hepatocellular carcinoma,1
SNORA15,Lung adenocarcinoma,1
SNORD23,Dysregulated immunity,1
SNHG22,Thyroid cancer,1
SNORD119,Osteosarcoma,0
SNORD115-13,Ovarian cancer,0
SNORD35A,Myasthenia gravis,0
SNORA70B,Triple negative breast cancer,0
SCARNA8,Breast cancer,0
SCARNA14,Ovarian cancer,0
SNORD124,Renal cell cancer,0
SNORD116@,Alzheimer disease,0
SCARNA14,Atherosclerosis,0
SNORD10,Herpes simplex keratitis,0
SNORA64,Esophageal squamous cell carcinoma,0
SNORD75,Cholangiocarcinoma,0
SNORD113-6,Prader-willi syndrome,0
SNORD1C,Osteoarthritis,0
SCARNA17,Pediatric neuroblastoma,0
SNORD114-26,Hepatic carcinoma,0
SNORA13,Hepatic carcinoma,0
SNORA55,B-cell lymphoma,0
SNORD18B,Renal cell carcinoma,0
SNORD50A,Uveal melanoma,0
SNORD20,Liposarcoma,0
SNORD64,Esophageal squamous cell cancer,0
SNORA49,Atherosclerosis,0
SNORD3B-2,Chronic myeloid leukemia,0
SNORD82,Hepatic carcinoma,0
SNORD3P3,Renal cell cancer,0
SNORA18,Cerebral cavernous malformations,0
RNU1-1,Cervical cancer,0
SNHG3,Melanoma,0
SNORD3P3,Atherosclerosis,0
SNORD3B-2,Epithelial ovarian carcinoma,0
SNORD115-10,Hemangioma,0
SNORD72,Myasthenia gravis,0
SCARNA3,Dysregulated immunity,0
SNORD55,Meningioma,0
SNORD3P3,Uterine cervical neoplasm,0
SNORD98,Esophageal squamous cell cancer,0
SNORA18,Ovarian cancer,0
SNORD15A,Ovarian carcinoma,0
SNORD63,Papillary thyroid carcinoma,0
SNORD3B-2,Nasopharyngeal carcinoma,0
SNORD34,Epithelial ovarian cancer,0
SNORA64,Oral squamous cell carcinoma,0
SNORD112,Malignant glioma,0
SNORD14A,Laryngeal squamous cell carcinoma,0
SNORD14D,Osteoarthritis,0
SNORA33,Uterine cervical neoplasm,0
SNORA71D,Nasopharyngeal cancer,0
SNORA21,Nasopharyngeal cancer,0
SCARNA22,Colon carcinoma,0
SNORD103B,Cervical cancer,0
SNORD67,Hepatocellular carcinoma,0
SNORA40,Ischemia,0
SNORA50C,Psoriatic arthritis,0
SNORD5,Glioma,0
SNORA56,Chronic myeloid leukemia,0
SNORD75,Pancreatic adenocarcinoma,0
SNORD49A,Thyroid cancer,0
SNORA23,B-cell lymphoma,0
SNORD104,Hepatocellular carcinoma,0
SNORA60,Gastric cancer,0
SNORA51,Ovarian cancer,0
SNORD60,Muscle-invasive bladder cancer,0
SNORD27,Triple negative breast cancer,0
SNORD25,B-cell lymphoma,0
SNORD119,Parkinson disease,0
SNORA40,Esophageal cancer,0
SNORA20,Nasopharyngeal cancer,0
SNORD124,Alzheimer disease,0
SNORD88C,Cancer,0
SNORD84,Hepatic carcinoma,0
SNHG25,Lung small cell carcinoma,0
SNORD34,Muscle-invasive bladder cancer,0
SNORD18C,Lung squamous cell carcinoma,0
SCARNA17,Esophageal squamous cell carcinoma,0
SNORD99,Prader-willi syndrome,0
SNORD54,Uveal melanoma,0
SNORD7,Acute promyelocytic leukemia,0
SNORA36A,Papillary thyroid cancer,0
SNORD38B,Prostate carcinoma,0
SNORD32A,Clear cell renal cell carcinoma,0
SNORA50A,Renal carcinoma,0
SNORD115-32,Tuberculosis,0
SNORD114-2,Lung carcinoma,0
SNORA5C,Lymphosarcoma,0
SNHG6,Colorectal adenocarcinoma,0
SNORD115-16,Esophageal cancer,0
SNORD93,Breast cancer,0
SNORD115-40,Acute myeloid leukemia,0
SNORA68,Oral squamous cell carcinoma,0
SNORD126,Epstein-barr virus infections,0
SNORD52,Acute myeloid leukemia,0
SNORD113-8,Psoriatic arthritis,0
SNORD55,Colorectal cancer,0
SNORD67,Psoriatic arthritis,0
SNORA37,Urinary bladder cancer,0
SNORA64,Alzheimer disease,0
SNORD36A,Atherosclerosis,0
SNORD114-14,Liver cancer,0
SNHG4,Epithelial ovarian carcinoma,0
SNORD78,Laryngeal squamous cell carcinoma,0
SNHG12,Diffuse large B cell lymphoma,0
SNORD19B,Gastric carcinoma,0
SNORD97,Melanoma,0
SNORA30,Acute promyelocytic leukemia,0
SNORD60,Tongue squamous cell carcinoma,0
SNORD116-24,Epithelial ovarian cancer,0
SNORD114-28,Triple negative breast cancer,0
SNORD34,Myasthenia gravis,0
SNORD117,Heart failure,0
SNORD114-9,Herpes simplex keratitis,0
SNORD103A,Renal cell cancer,0
SNORD22,Laryngeal cancer,0
SNHG12,Esophagus adenocarcinoma,0
SNORA36A,Clear cell renal cell carcinoma,0
SCARNA14,Papillary thyroid cancer,0
MEG8,Uterine cervical neoplasm,0
SNORA49,Gastric carcinoma,0
SNORD72,Lung squamous cell carcinoma,0
SNORD116-29,Renal cell carcinoma,0
SNORD20,Colon cancer,0
SNORD14C,Diffuse large B cell lymphoma,0
SNORD27,Cerebral cavernous malformations,0
SCARNA7,Liver cirrhosis,0
SNORD16,Non small cell lung carcinoma,0
SNORD84,Pediatric neuroblastoma,0
SNORD113-9,Breast cancer,0
SNORD62B,Bladder cancer,0
SNORA67,Colon and rectal adenocarcinoma,0
SNORA17A,Urinary bladder cancer,0
SNORA18,Pneumonia,0
SNORD114-20,Glioma,0
SNHG25,Papillary thyroid cancer,0
SNORA80A,Tongue squamous cell carcinoma,0
SNORA53,Nasopharyngeal cancer,0
SNORA33,Glioblastoma,0
SNORD103C,Colorectal cancer,0
SNORD114-20,Uterine cervical neoplasm,0
SNORD93,Multiple myeloma,0
SNORD103B,Retinoblastoma,0
SNORD11B,Pre-eclampsia,0
SNORD98,Colorectal adenocarcinoma,0
SNHG19,Lymphosarcoma,0
SNORD115-16,Lymphosarcoma,0
